,Asset 1,Asset 2,p-value,Start Time,End Time,Train Days,Test Days,Train Wallet,Test Wallet,Parameters,Train Sharpe Ratio,Test Sharpe Ratio,Backtesting_Period
18,QIUSDT,SNXUSDT,4.216096148974653e-8,1727740799999,1740700799999,150,50,12561.13653890749,10615.439393885334,"[2.0, 40]",0.12266673412622003,0.1079209773320377,3
19,PYRUSDT,QIUSDT,4.3002218157601114e-8,1727740799999,1740700799999,150,50,14808.247810654604,9524.897072290647,"[2.0, 30]",0.16714006146320726,-0.11741559389423159,3
20,HIFIUSDT,IQUSDT,6.084196569865688e-8,1727740799999,1740700799999,150,50,13501.347172420472,6510.3693748475835,"[2.0, 40]",0.18938345895511696,-0.26154150654737507,3
21,RLCUSDT,ZKUSDT,9.413977119667881e-8,1727740799999,1740700799999,150,50,11048.1957606459,9436.873513156504,"[2.0, 70]",0.11387177884558623,-0.09135176295391828,3
22,JSTUSDT,YFIUSDT,1.983873021378726e-7,1727740799999,1740700799999,150,50,16918.635969388182,10181.71353505025,"[2.0, 130]",0.1342998954467287,0.0616825421298989,3
23,FIDAUSDT,UMAUSDT,2.9200583986509696e-7,1727740799999,1740700799999,150,50,10789.892360689888,10141.379907804692,"[2.0, 40]",0.12831667994407084,0.04554045884720443,3
24,STEEMUSDT,SUNUSDT,4.2972515075436406e-7,1727740799999,1740700799999,150,50,12741.239087012787,10217.718723760969,"[2.0, 20]",0.11497894705011064,0.046055351778624874,3
25,COTIUSDT,VICUSDT,5.702944040127338e-7,1727740799999,1740700799999,150,50,14889.51150437882,8563.004810049573,"[2.0, 10]",0.15341449007586852,-0.07303775768965128,3
26,JUVUSDT,USTCUSDT,5.900668654069182e-7,1727740799999,1740700799999,150,50,14231.330643887208,10000,"[2.0, 100]",0.16691269686141755,-Infinity,3
27,BAKEUSDT,JUVUSDT,6.296270666726597e-7,1727740799999,1740700799999,150,50,17880.543302728078,10000,"[2.0, 100]",0.1081929732571817,-Infinity,3
28,1MBABYDOGEUSDT,ORCAUSDT,7.783878685230792e-7,1727740799999,1740700799999,150,50,10006.609727979285,20259.548371396482,"[2.0, 10]",-0.026814366928568145,0.1944631005899365,3
29,IQUSDT,SCUSDT,8.582741161846339e-7,1727740799999,1740700799999,150,50,12441.216110300065,10478.376855792936,"[2.0, 30]",0.18966158518988796,0.07624738599151085,3
30,MEUSDT,UTKUSDT,9.302104084520878e-7,1727740799999,1740700799999,150,50,10266.03959852745,10181.934394318949,"[2.0, 10]",0.033449700390693546,0.034056073805601494,3
31,ACEUSDT,TRBUSDT,0.000001011006305008205,1727740799999,1740700799999,150,50,11728.64299646996,10000,"[2.0, 90]",0.10730602262960494,-Infinity,3
32,BTTCUSDT,TUSDT,0.0000012855149802653739,1727740799999,1740700799999,150,50,15267.277697695345,10000,"[2.0, 130]",0.20352955993528402,-Infinity,3
33,ALPHAUSDT,RADUSDT,0.0000012988387324378187,1727740799999,1740700799999,150,50,12366.701573535369,10441.689358011075,"[2.0, 130]",0.1015319337414832,0.045434284801222274,3
34,ALPHAUSDT,ARPAUSDT,0.0000014994460704742387,1727740799999,1740700799999,150,50,14807.7861953851,10207.966904869132,"[2.0, 60]",0.13186112683737372,0.16808008019401205,3
35,GASUSDT,IQUSDT,0.0000016677798388987192,1727740799999,1740700799999,150,50,16409.346030717294,13747.625838152737,"[2.0, 70]",0.19652465967760993,0.2070188499259472,3
36,PNUTUSDT,TRBUSDT,0.0000017750475996001128,1727740799999,1740700799999,150,50,12447.81954085707,10314.596881286547,"[2.0, 10]",0.0708917798275209,0.08595313809959092,3
37,DGBUSDT,XTZUSDT,0.0000019386267970032717,1727740799999,1740700799999,150,50,19019.006832236963,8001.855568453867,"[2.0, 50]",0.1794056044268383,-0.14511211853733325,3
38,DEGOUSDT,ZROUSDT,0.0000019463923072058077,1727740799999,1740700799999,150,50,11548.638337231672,10192.181906242131,"[2.0, 20]",0.14106857846355986,0.02370327618499541,3
39,ENJUSDT,GLMRUSDT,0.0000020390375192982625,1727740799999,1740700799999,150,50,13991.610284072876,9914.526049549353,"[2.0, 50]",0.17657074862839353,-0.03908137292256604,3
40,SUNUSDT,THETAUSDT,0.0000023824411934496873,1727740799999,1740700799999,150,50,13748.55536359367,9567.333665051265,"[2.0, 10]",0.10082830128222071,-0.1262020483162519,3
41,RAREUSDT,STXUSDT,0.0000024702539954054145,1727740799999,1740700799999,150,50,13163.291909589247,8279.777590402487,"[2.0, 10]",0.1420387867493496,-0.0750258735262161,3
42,KAVAUSDT,QTUMUSDT,0.0000027431275713922895,1727740799999,1740700799999,150,50,12926.748794792797,10127.303124351274,"[2.0, 60]",0.17554037537004388,0.016838430581269243,3
43,LQTYUSDT,ORCAUSDT,0.000003489644756620386,1727740799999,1740700799999,150,50,11002.88788022522,15718.331519576628,"[2.0, 20]",-0.019218618312915905,0.21065875566854342,3
44,ASRUSDT,DOGSUSDT,0.0000035144676013131384,1727740799999,1740700799999,150,50,13170.758929965334,9068.02295340445,"[2.0, 10]",0.10111617464120555,-0.10876400153675844,3
45,BSWUSDT,CHRUSDT,0.000003945631103377922,1727740799999,1740700799999,150,50,12968.305679160001,9200.12368098625,"[2.0, 50]",0.14042262073859094,-0.05610101951715069,3
46,BTTCUSDT,KNCUSDT,0.000004277021885531554,1727740799999,1740700799999,150,50,11185.604579510384,10000,"[2.0, 90]",0.15281645931828028,-Infinity,3
47,BAKEUSDT,LISTAUSDT,0.000004402320290734972,1727740799999,1740700799999,150,50,13616.652223211038,10958.80259817456,"[2.0, 40]",0.1353275613786768,0.17013979568482923,3
48,CHRUSDT,TLMUSDT,0.000004468490920843207,1727740799999,1740700799999,150,50,11931.972675434612,10267.074180471122,"[2.0, 20]",0.14999921364192229,0.1604761986885512,3
49,ACMUSDT,YGGUSDT,0.0000045187854009130645,1727740799999,1740700799999,150,50,10372.0990366758,11069.769395131807,"[2.0, 50]",0.08399954199314695,0.12596845148102892,3
0,AVAUSDT,MEUSDT,3.9567071805469616e-13,1732060799999,1745020799999,150,50,9221.026080235619,10202.200815620117,"[2.0, 30]",-0.006727218403582531,0.06809724541440274,4
1,IQUSDT,TUSDT,1.0398732767432282e-12,1732060799999,1745020799999,150,50,15851.947507085644,10743.407375228795,"[2.0, 30]",0.13088587169428648,0.19390121187069165,4
2,JSTUSDT,KAIAUSDT,2.0960363682209725e-12,1732060799999,1745020799999,150,50,10550.898425217752,10399.654719236883,"[2.0, 40]",0.05234677503024308,0.11517913034089251,4
3,FLOKIUSDT,ONEUSDT,1.6472064099954348e-11,1732060799999,1745020799999,150,50,12341.922476424777,9400.240554068332,"[2.0, 70]",0.07002013213913298,-0.11118316379548857,4
4,ANIMEUSDT,SPELLUSDT,3.0414436173710303e-11,1732060799999,1745020799999,150,50,11708.83181908893,10174.275461441446,"[2.0, 10]",0.16828695760182355,0.03557714347748211,4
5,MEUSDT,UTKUSDT,4.82703093801074e-11,1732060799999,1745020799999,150,50,10361.987518032964,9610.82004095351,"[2.0, 20]",0.03312885923091346,-0.0786492589170021,4
