,Asset 1,Asset 2,p-value,Start Time,End Time,Train Days,Test Days,Train Wallet,Test Wallet,Parameters,Train Sharpe Ratio,Test Sharpe Ratio,Backtesting_Period
44,PYRUSDT,QIUSDT,0.0000064520271928083945,1723420799999,1736380799999,150,50,12559.393135074091,10000,"[2.0, 50]",0.15537887352464017,-Infinity,2
45,FLMUSDT,HOTUSDT,0.000006482873435419081,1723420799999,1736380799999,150,50,11250.923434974797,10000,"[2.0, 50]",0.09591203829412272,-Infinity,2
46,COMPUSDT,YFIUSDT,0.000006593592601454786,1723420799999,1736380799999,150,50,13378.719874629933,10000,"[2.0, 50]",0.15773669428200848,-Infinity,2
47,VETUSDT,XTZUSDT,0.000006639631453034073,1723420799999,1736380799999,150,50,12739.328833147418,10000,"[2.0, 50]",0.08453779195281243,-Infinity,2
48,TRXUSDT,YFIUSDT,0.000007554665943091226,1723420799999,1736380799999,150,50,21620.497598663595,10000,"[2.0, 50]",0.14270513983535288,-Infinity,2
49,FARMUSDT,POLUSDT,0.000008028235898361353,1723420799999,1736380799999,150,50,10000,10233.944388173206,"[2.0, 50]",-Infinity,0.0640939987432098,2
0,NEIROUSDT,PNUTUSDT,2.3857380992996446e-22,1727740799999,1740700799999,150,50,10000,8854.45372395051,"[2.0, 50]",-Infinity,-0.0985070153660874,3
1,AVAUSDT,MEUSDT,1.5529035088557024e-15,1727740799999,1740700799999,150,50,10000,9950.270878649864,"[2.0, 50]",-Infinity,-0.2942202364783788,3
2,BOMEUSDT,PNUTUSDT,5.766875227537984e-15,1727740799999,1740700799999,150,50,9671.961063572076,8147.495404237943,"[2.0, 50]",-0.03552588617142014,-0.09612947591320445,3
3,APEUSDT,LUMIAUSDT,1.7400465841576177e-12,1727740799999,1740700799999,150,50,10000,10040.590926819053,"[2.0, 50]",-Infinity,-0.000839891978625381,3
4,DGBUSDT,JSTUSDT,6.508988222822655e-11,1727740799999,1740700799999,150,50,9490.03153320218,10882.146585107086,"[2.0, 50]",0.00021961755353805133,0.07318595104619423,3
5,KSMUSDT,SCRTUSDT,9.664017895812024e-11,1727740799999,1740700799999,150,50,13617.374351748593,9777.267325179395,"[2.0, 50]",0.05665180113374725,-0.20344473593791534,3
